underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^SPX,2017-10-23,SPXW,2018-03-29,2125.000,P,10.7400,11.4400,10.6800,11.4000,32,732,11.4000,150,11.7000,2565.8000,2566.3000,2551.5482,2566.0500,0.2055,-0.0716,0.0004,-0.1430,2.2866,-83.5716,130,11.8000,140,12.2000,2536.0900,2586.0200,11.0138,2624,
^SPX,2017-10-23,SPXW,2018-03-29,2150.000,C,0.0000,0.0000,0.0000,0.0000,0,45,424.2000,44,425.6000,2565.8000,2566.3000,2551.5482,2566.0500,0.1969,0.9239,0.0004,-0.2160,2.3947,831.4343,15,418.9000,15,430.0000,2536.0900,2586.0200,0.0000,39,
^SPX,2017-10-23,SPXW,2018-03-29,2150.000,P,11.8000,12.8300,11.8000,12.8300,4,87,12.6000,170,12.9000,2565.8000,2566.3000,2551.5482,2566.0500,0.2005,-0.0795,0.0004,-0.1507,2.4763,-92.7510,120,13.0000,110,13.4000,2536.0900,2586.0200,12.5725,1984,
^SPX,2017-10-23,SPXW,2018-03-29,2175.000,C,0.0000,0.0000,0.0000,0.0000,0,45,400.6000,44,402.1000,2565.8000,2566.3000,2551.5482,2566.0500,0.1921,0.9151,0.0005,-0.2251,2.6025,831.8424,1,399.1000,1,403.7000,2536.0900,2586.0200,0.0000,56,
^SPX,2017-10-23,SPXW,2018-03-29,2175.000,P,0.0000,0.0000,0.0000,0.0000,0,696,13.8000,120,14.1000,2565.8000,2566.3000,2551.5482,2566.0500,0.1950,-0.0878,0.0005,-0.1576,2.6692,-102.4318,50,14.3000,60,14.7000,2536.0900,2586.0200,0.0000,298,
^SPX,2017-10-23,SPXW,2018-03-29,2200.000,C,0.0000,0.0000,0.0000,0.0000,0,45,377.2000,44,378.6000,2565.8000,2566.3000,2551.5482,2566.0500,0.1871,0.9054,0.0005,-0.2339,2.8200,831.3044,1,376.3000,1,379.7000,2536.0900,2586.0200,0.0000,33,
^SPX,2017-10-23,SPXW,2018-03-29,2200.000,P,14.2000,15.3700,14.2000,15.3700,11,683,15.2000,120,15.5000,2565.8000,2566.3000,2551.5482,2566.0500,0.1897,-0.0974,0.0005,-0.1650,2.8811,-113.5250,60,15.7000,70,16.2000,2536.0900,2586.0200,14.3064,6600,
^SPX,2017-10-23,SPXW,2018-03-29,2225.000,C,0.0000,0.0000,0.0000,0.0000,0,45,354.0000,44,355.3000,2565.8000,2566.3000,2551.5482,2566.0500,0.1822,0.8945,0.0006,-0.2429,3.0546,829.2987,5,353.2000,4,355.5000,2536.0900,2586.0200,0.0000,48,
^SPX,2017-10-23,SPXW,2018-03-29,2225.000,P,0.0000,0.0000,0.0000,0.0000,0,698,16.7000,60,17.0000,2565.8000,2566.3000,2551.5482,2566.0500,0.1842,-0.1078,0.0006,-0.1720,3.1022,-125.6125,30,17.3000,40,17.7000,2536.0900,2586.0200,0.0000,294,
^SPX,2017-10-23,SPXW,2018-03-29,2250.000,C,0.0000,0.0000,0.0000,0.0000,0,45,330.9000,44,332.2000,2565.8000,2566.3000,2551.5482,2566.0500,0.1771,0.8823,0.0007,-0.2517,3.3017,825.9322,1,330.0000,1,333.3000,2536.0900,2586.0200,0.0000,49,
^SPX,2017-10-23,SPXW,2018-03-29,2250.000,P,0.0000,0.0000,0.0000,0.0000,0,681,18.4000,466,18.8000,2565.8000,2566.3000,2551.5482,2566.0500,0.1790,-0.1199,0.0007,-0.1795,3.3449,-139.5614,50,19.0000,50,19.5000,2536.0900,2586.0200,0.0000,1621,
^SPX,2017-10-23,SPXW,2018-03-29,2275.000,C,0.0000,0.0000,0.0000,0.0000,0,45,307.9000,44,309.3000,2565.8000,2566.3000,2551.5482,2566.0500,0.1719,0.8689,0.0007,-0.2600,3.5611,821.0562,11,307.4000,3,309.4000,2536.0900,2586.0200,0.0000,41,
^SPX,2017-10-23,SPXW,2018-03-29,2275.000,P,0.0000,0.0000,0.0000,0.0000,0,544,20.3000,60,20.6000,2565.8000,2566.3000,2551.5482,2566.0500,0.1735,-0.1330,0.0007,-0.1864,3.5966,-154.7970,50,20.9000,30,21.4000,2536.0900,2586.0200,0.0000,384,
^SPX,2017-10-23,SPXW,2018-03-29,2300.000,C,0.0000,0.0000,0.0000,0.0000,0,1,285.5000,1,286.2000,2565.8000,2566.3000,2551.5482,2566.0500,0.1666,0.8539,0.0008,-0.2679,3.8336,814.3889,1,285.1000,1,286.1000,2536.0900,2586.0200,0.0000,408,
